"","X","pais","lib.democracy","va","rl","pp.urbana","PS.legitimacy","F.economy","cc","rq","expec","mort.intantil","sec.erollment","cres.PIB","desemprego","inequality.index","eff.DEA","catg_democracy","eff.ajust","bias"
"31",31,"Cyprus",0.636,0.97,0.63,66.987,3.3,5.6,0.33,0.78,81.648,0.3558,102.4995,1.00010181084375,5.964,32.72,0.684259648032495,3,0.666102132353593,0.0181575156789011
"32",32,"Denmark",0.883,1.66,1.91,88.495,1.7,1,2.38,1.84,81.9328,0.3402,130.327,1.00017383122316,5.142,33.1,0.679983714252166,4,0.665153338435849,0.014830375816317
"33",33,"Djibouti",0.122,-1.27,-1.13,78.552,7.6,7,-0.78,-0.93,65.9865,5.0278997,45.00778,1.00052103039919,26.258,49.14,1,1,0.829692874056745,0.170307125943255
"34",34,"Dominican Republic",0.438,0.33,-0.13,84.446,6.4,4.6,-0.45,0.17,73.7201,3.1653,76.52832,1.00014524555832,5.557,45.71,0.764973547702048,2,0.734247737261498,0.03072581044055
"35",35,"Ecuador",0.467,-0.06,-0.96,64.792,6,6,-0.65,-0.72,77.3924,1.1759,98.15469,1.00014661006852,3.367,45.21,0.727387837858578,2,0.684881680500833,0.0425061573577452
"36",36,"El Salvador",0.111,-0.47,-0.37,75.393,6.2,5.5,-0.56,-0.31,72.0993,1.143,65.743,1.00030302245799,2.758,42.329998,0.770935459332639,1,0.732973296125453,0.0379621632071864
"37",37,"Estonia",0.845,1.22,1.43,69.81,1.9,3.2,1.54,1.43,79.1535,0.20390001,112.55185,0.999545920116702,6.345,35.06,0.707426882491337,4,0.6935059998801,0.013920882611237
"38",38,"Fiji",0.41,0.19,0.3,58.713,4.2,7.5,0.51,-0.09,67.3157,2.8761,84.112,1.00069747768819,4.327,48.41,0.879251981950751,2,0.833046637032981,0.0462053449177708
"39",39,"Finland",0.82,1.63,1.97,85.773,1,2.7,2.22,1.77,81.9102,0.252,144.85246,0.999834387513893,7.155,33.82,0.688252928211658,4,0.674427996031219,0.0138249321804389
"40",40,"France",0.81,1.15,1.18,81.777,1.2,3.4,1.18,1.15,83.3253,0.4125,104.28015,1.0000607648067,7.323,34.31,0.677666631357438,4,0.660566272784735,0.0171003585727033
"41",41,"Gabon",0.175,-0.92,-0.87,91.029,6.8,5.9,-1.02,-0.7,68.3367,3.7373002,67.143,1.00002177761654,20.361,42.829998,1,1,0.858384007441652,0.141615992558348
"42",42,"Georgia",0.473,0.03,0.18,60.727,3.8,5.3,0.62,0.95,74.4965,0.92410004,103.7795,1.00077456816407,11.622,44.64,0.814248167517134,2,0.762177290317336,0.0520708771997977
"43",43,"Germany",0.812,1.46,1.55,77.765,1.5,1.5,1.66,1.46,81.3777,0.3499,101.20354,1.00003538829296,3.045,36.73,0.669253370395084,4,0.647868696936536,0.0213846734585477
"44",44,"Ghana",0.562,0.41,-0.1,59.238,6.8,5.8,-0.1,-0.18,65.4979,4.0980997,76.7831,1.00009986191863,3.079,48.52,0.872771057056025,3,0.845542412978978,0.0272286440770475
"45",45,"Greece",0.582,1.01,0.21,80.673,4.3,6,0.1,0.58,81.8568,0.3829,105.525,1.00026398733005,10.997,35.13,0.715144109771259,3,0.688484968586626,0.026659141184633
"46",46,"Guatemala",0.309,-0.53,-1.08,53.098,6.8,4.7,-1.12,-0.29,72.6023,2.145,46.1119,1.00019448339382,2.705,51.81,0.842935711417912,2,0.7370195741071,0.105916137310812
"47",47,"Guinea",0.088,-1.15,-1.11,38.085,9.4,8,-0.9,-1.08,60.7405,9.314,35.955,1.00041489819013,5.297,37.22,0.989691953234604,0,0.871291500755647,0.118400452478956
"48",48,"Guyana",0.332,0.15,-0.34,27.162,6.1,3.5,-0.38,-0.56,70.1802,2.5683,85.51599,1.00330389959675,12.43,51.81,1,2,0.829067207724463,0.170932792275537
"49",49,"Hungary",0.325,0.36,0.43,72.864,2.8,4.4,0,0.32,77.024,0.3852,99.69193,0.999963147046095,4.126,33.5,0.713483316447383,2,0.690542808833612,0.0229405076137704
"50",50,"Iceland",0.744,1.45,1.72,94.042,0.9,2.6,1.55,1.28,82.6911,0.1566,115.1563,1.00020074196479,3.562,28.240002,0.666772412851383,4,0.649329007394565,0.0174434054568184
"51",51,"India",0.275,0.09,0.19,36.364,7.3,6.2,-0.37,-0.14,72.0026,2.762,76.541,1.00072018290792,4.172,58.46,0.899763335080292,1,0.796910020939064,0.102853314141228
"52",52,"Indonesia",0.36,0.14,-0.15,58.572,5.9,4.1,-0.49,0.3,71.1457,2.0534,98.972,1.00041666237052,3.417,46.44,0.80464696187502,2,0.775372065897959,0.0292748959770605
"53",53,"Ireland",0.831,1.48,1.63,64.466,1.9,1.7,1.58,1.75,82.4118,0.3268,135.2522,0.999194430477175,4.34,36.35,0.668055229528287,4,0.65290679828611,0.0151484312421766
"54",54,"Israel",0.634,0.64,0.78,92.854,1.6,1,0.83,1.12,82.408,0.39360002,96.92708,1.00003328931439,3.389,48.57,0.691302871657303,3,0.669179511719758,0.0221233599375458
"55",55,"Italy",0.757,1.12,0.39,71.973,3.9,5.4,0.55,0.64,83.7157,0.26500002,102.33128,1.00007321024869,7.618,37.28,0.676350247427854,4,0.656630099319685,0.0197201481081699
"56",56,"Jamaica",0.678,0.56,-0.17,57.378,7,6.9,-0.11,0.1,71.4789,1.9420999,83.87147,1.00021769535536,4.417,51.81,0.830913973005889,3,0.801124274324024,0.0297896986818654
"57",57,"Japan",0.731,1.11,1.54,92.043,1.8,3.5,1.4,1.47,84.7123,0.2268,102.15538,1.00021757860753,2.575,43.53,0.654793695078759,4,0.633769486389365,0.0210242086893947
"58",58,"Jordan",0.253,-0.77,0.26,92.02,4.8,6.4,0.09,0.22,77.8145,1.3703,70.93704,1.00010361163539,17.944,50.050003,0.795239158751155,1,0.71968226929747,0.075556889453685
"59",59,"Kazakhstan",0.144,-1,-0.45,58.179,4,5.1,-0.27,0.07,74.4021,0.95170003,94.4199,1.00035723822788,4.847,40.95,0.756060104750862,1,0.729793015211346,0.026267089539516
"60",60,"Latvia",0.768,0.99,1.04,68.671,3.3,3.9,0.7,1.17,76.1898,0.36270002,104.76453,1.00018117899525,6.534,34.91,0.739388158206992,4,0.722181201136551,0.0172069570704411
"61",61,"Liberia",0.436,0.05,-1.03,53.567,9.1,8.3,-0.89,-0.92,62.1625,7.1169,37.80513,1.00024018550319,2.939,42.59,0.906030490157534,2,0.820805501534125,0.085224988623409
"62",62,"Lithuania",0.735,1.07,1.27,68.694,3.7,3.7,0.78,1.34,76.025,0.32349998,109.32623,0.999894642256121,6.962,34.42,0.740341756451152,4,0.724118936126618,0.016222820324534
"63",63,"Luxembourg",0.798,1.63,1.75,92.078,1.3,2.4,1.93,1.93,82.2294,0.6756,106.48276,0.999692643443572,5.188,36.43,0.674370293523641,4,0.659564480242986,0.0148058132806551
"64",64,"Madagascar",0.241,-0.32,-0.97,40.556,9.3,7.7,-1,-0.8,63.6317,6.5596,35.145,1.00012756321461,3.061,50.260002,0.915893303429682,1,0.806506940715769,0.109386362713913
"65",65,"Malawi",0.485,0.08,-0.16,18.28,8.2,8.1,-0.6,-0.77,67.3535,3.9261003,35.328,0.999930583447998,5.044,47.81,0.852305199192454,2,0.75396889565306,0.0983363035393936
"66",66,"Malaysia",0.359,0.09,0.57,78.716,3.7,3,0.3,0.66,76.6571,0.77849996,84.543,1.00022854412079,3.855,39.44,0.722204296454417,2,0.698504770327677,0.0236995261267398
"67",67,"Maldives",0.453,-0.14,-0.08,41.971,5.4,5.2,-0.4,-0.67,81.0412,0.5216,70.76908,1.00043504920499,4.127,38.79,0.713684199714188,2,0.664609813935148,0.0490743857790399
"68",68,"Mali",0.148,-1.01,-0.98,46.189,8.9,7.5,-0.86,-0.68,60.4394,9.1707,35.362,1.00015901071565,3.008,44.23,0.928003041991489,1,0.851391813672699,0.0766112283187904
"69",69,"Malta",0.64,0.91,0.7,94.941,1.8,3.4,0.11,0.69,83.2989,0.7737,102.69504,1.00033685254019,3.125,31.43,0.669258018811514,3,0.647793217377039,0.0214648014344758
"70",70,"Mauritania",0.184,-0.66,-0.64,57.699,8.4,6.3,-0.82,-1,68.4836,3.7998002,35.889,1.00033940250243,10.512,39.29,0.971608572311705,1,0.847931543931512,0.123677028380193
"71",71,"Mauritius",0.36,0.62,0.81,40.867,3.1,5,0.45,1.06,74.9263,1.4245,92.17747,1.00070839799486,6.057,46.77,0.783886284881779,2,0.743365009271142,0.0405212756106372
